From_pillar,to_pillar,Height_of_instrument,Height_of_target,Horizontal_direction(dd),slope_distance,temperature,pressure,humidity
1,2,0.237,0.237,3.14E-01,20.4005,14.4,1018.9,89.7
1,2,0.237,0.237,3.14E-01,20.4005,14.4,1018.9,89.7
1,2,0.237,0.237,0.3136239,20.4006,14.4,1018.9,89.7
1,2,0.237,0.237,3.14E-01,20.4004,14.4,1018.9,89.7
1,3,0.237,0.237,0.05483586,122.3877,14.6,1019,87.2
1,3,0.237,0.237,0.05481936,122.3875,14.6,1019,87.2
1,3,0.237,0.237,0.0547613,122.3875,14.6,1019,87.2
1,3,0.237,0.237,0.05474477,122.3876,14.6,1019,87.2
1,4,0.237,0.237,0.02496214,305.9899,14.4,1019.1,89.2
1,4,0.237,0.237,0.02505117,305.9899,14.4,1019.1,89.2
1,4,0.237,0.237,0.02499239,305.99,14.4,1019.1,89.2
1,4,0.237,0.237,0.02502329,305.99,14.4,1019.1,89.2
1,5,0.237,0.237,0.01958938,448.7901,13.8,1019.1,90.1
1,5,0.237,0.237,0.0196347,448.7901,13.8,1019.1,90.1
1,5,0.237,0.237,0.019421,448.7901,13.8,1019.1,90.1
1,5,0.237,0.237,0.01970956,448.7902,13.8,1019.1,90.1
1,6,0.237,0.237,0.00039249,509.9729,16,1019.2,79.2
1,6,0.237,0.237,0.0002632,509.9728,16,1019.2,79.2
1,6,0.237,0.237,0.00035835,509.9728,16,1019.2,79.2
1,6,0.237,0.237,0,509.9729,16,1019.2,79.2
2,6,0.237,0.237,0.0016912,489.5733,17.5,1019.3,69.1
2,6,0.237,0.237,0.0015132,489.573,17.5,1019.3,69.1
2,6,0.237,0.237,0.00140395,489.5732,17.5,1019.3,69.1
2,6,0.237,0.237,0.00123241,489.5733,17.5,1019.3,69.1
2,6,0.237,0.237,0.00136806,489.573,17.5,1019.3,69.1
2,5,0.237,0.237,0.01956327,428.3894,14.4,1019.3,83.7
2,5,0.237,0.237,0.01966974,428.3892,14.4,1019.3,83.7
2,5,0.237,0.237,0.01971029,428.3893,14.4,1019.3,83.7
2,5,0.237,0.237,0.01952568,428.3892,14.4,1019.3,83.7
2,4,0.237,0.237,0.01827819,285.5891,14.6,1019.3,83
2,4,0.237,0.237,0.01845826,285.5891,14.6,1019.3,83
2,4,0.237,0.237,0.01850217,285.5888,14.6,1019.3,83
2,4,0.237,0.237,0.01841857,285.5889,14.6,1019.3,83
2,3,0.237,0.237,0.0170089,101.9871,14.9,1019.3,76.1
2,3,0.237,0.237,0.01700497,101.987,14.9,1019.3,76.1
2,3,0.237,0.237,0.01704624,101.9869,14.9,1019.3,76.1
2,3,0.237,0.237,0.01710804,101.987,14.9,1019.3,76.1
2,1,0.237,0.237,180.3294553,20.4009,16.4,1019.3,72.7
2,1,0.237,0.237,180.3293843,20.4011,16.4,1019.3,72.7
2,1,0.237,0.237,180.3294211,20.4009,16.4,1019.3,72.7
2,1,0.237,0.237,180.3294425,20.4009,16.4,1019.3,72.7
3,1,0.237,0.237,180.0733519,122.3877,16.5,1019.4,72.1
3,1,0.237,0.237,180.0734759,122.3877,16.5,1019.4,72.1
3,1,0.237,0.237,180.0734637,122.3877,16.5,1019.4,72.1
3,1,0.237,0.237,180.0734276,122.3878,16.5,1019.4,72.1
3,2,0.237,0.237,180.0215741,101.9872,17,1019.4,70.5
3,2,0.237,0.237,180.0215155,101.987,17,1019.4,70.5
3,2,0.237,0.237,180.0215206,101.987,17,1019.4,70.5
3,2,0.237,0.237,180.0214579,101.987,17,1019.4,70.5
3,4,0.237,0.237,0.02361034,183.6028,16.7,1019.4,71.8
3,4,0.237,0.237,0.02351449,183.6027,16.7,1019.4,71.8
3,4,0.237,0.237,0.02364289,183.6027,16.7,1019.4,71.8
3,4,0.237,0.237,0.02354478,183.6027,16.7,1019.4,71.8
3,5,0.237,0.237,0.0247747,326.4033,16.6,1019.4,70.9
3,5,0.237,0.237,0.02470318,326.4034,16.6,1019.4,70.9
3,5,0.237,0.237,0.0248659,326.4034,16.6,1019.4,70.9
3,5,0.237,0.237,0.02485309,326.4034,16.6,1019.4,70.9
3,6,0.237,0.237,0.00177876,387.5854,17.1,1019.4,68.6
3,6,0.237,0.237,0.00171788,387.5858,17.1,1019.4,68.6
3,6,0.237,0.237,0.00171316,387.5856,17.1,1019.4,68.6
3,6,0.237,0.237,0.00175439,387.5854,17.1,1019.4,68.6
3,6,0.237,0.237,0.00176927,387.5855,17.1,1019.4,68.6
4,6,0.237,0.237,0.00137705,203.9846,19.6,1019.4,59.2
4,6,0.237,0.237,0.00097691,203.9846,19.6,1019.4,59.2
4,6,0.237,0.237,0.00102844,203.9845,19.6,1019.4,59.2
4,6,0.237,0.237,0.00135471,203.9846,19.6,1019.4,59.2
4,5,0.237,0.237,0.04595952,142.8025,17.7,1019.4,60.1
4,5,0.237,0.237,0.04613146,142.8026,17.7,1019.4,60.1
4,5,0.237,0.237,0.04617439,142.8024,17.7,1019.4,60.1
4,5,0.237,0.237,0.04605226,142.8024,17.7,1019.4,60.1
4,3,0.237,0.237,180.0430304,183.6025,17.3,1019.4,63.8
4,3,0.237,0.237,180.0430673,183.6027,17.3,1019.4,63.8
4,3,0.237,0.237,180.0430796,183.6026,17.3,1019.4,63.8
4,3,0.237,0.237,180.043062,183.6028,17.3,1019.4,63.8
4,3,0.237,0.237,180.0430352,183.6028,17.3,1019.4,63.8
4,2,0.237,0.237,180.0424442,285.5894,17.6,1019.4,61.8
4,2,0.237,0.237,180.04244,285.5894,17.6,1019.4,61.8
4,2,0.237,0.237,180.0425439,285.5897,17.6,1019.4,61.8
4,2,0.237,0.237,180.0424327,285.5895,17.6,1019.4,61.8
4,2,0.237,0.237,180.0423364,285.5896,17.6,1019.4,61.8
4,1,0.237,0.237,180.0629798,305.9901,17.5,1019.4,61.4
4,1,0.237,0.237,180.062962,305.9902,17.5,1019.4,61.4
4,1,0.237,0.237,180.0629435,305.9902,17.5,1019.4,61.4
4,1,0.237,0.237,180.0629555,305.9903,17.5,1019.4,61.4
5,1,0.237,0.237,180.0005603,448.7904,18.8,1019.4,52.9
5,1,0.237,0.237,180.0005957,448.7904,18.8,1019.4,52.9
5,1,0.237,0.237,180.0004987,448.7904,18.8,1019.4,52.9
5,1,0.237,0.237,180.0002577,448.7904,18.8,1019.4,52.9
5,2,0.237,0.237,179.9862461,428.3904,18.3,1019.3,57.4
5,2,0.237,0.237,179.9863072,428.3903,18.3,1019.3,57.4
5,2,0.237,0.237,179.9863974,428.3903,18.3,1019.3,57.4
5,2,0.237,0.237,179.9863716,428.3904,18.3,1019.3,57.4
5,3,0.237,0.237,179.9873828,326.4035,18.3,1019.3,57.8
5,3,0.237,0.237,179.9872525,326.4035,18.3,1019.3,57.8
5,3,0.237,0.237,179.987392,326.4035,18.3,1019.3,57.8
5,3,0.237,0.237,179.9873394,326.4034,18.3,1019.3,57.8
5,4,0.237,0.237,179.9889975,142.8027,18.1,1019.3,57.9
5,4,0.237,0.237,179.9892951,142.8027,18.1,1019.3,57.9
5,4,0.237,0.237,179.9890762,142.8027,18.1,1019.3,57.9
5,4,0.237,0.237,179.9890514,142.8028,18.1,1019.3,57.9
5,6,0.237,0.237,359.8409315,61.182,18.5,1019.3,59.1
5,6,0.237,0.237,359.840718,61.1819,18.5,1019.3,59.1
5,6,0.237,0.237,359.8409008,61.1822,18.5,1019.3,59.1
5,6,0.237,0.237,359.8409639,61.1824,18.5,1019.3,59.1
5,6,0.237,0.237,359.8409593,61.1823,18.5,1019.3,59.1
6,5,0.237,0.237,179.8606167,61.1825,20.9,1019.3,54.4
6,5,0.237,0.237,179.8604917,61.1827,20.9,1019.3,54.4
6,5,0.237,0.237,179.8604967,61.1827,20.9,1019.3,54.4
6,5,0.237,0.237,179.8605036,61.1827,20.9,1019.3,54.4
6,4,0.237,0.237,179.9639667,203.9853,19.1,1019.3,56.7
6,4,0.237,0.237,179.9640458,203.9851,19.1,1019.3,56.7
6,4,0.237,0.237,179.9640523,203.9852,19.1,1019.3,56.7
6,4,0.237,0.237,179.9638567,203.9851,19.1,1019.3,56.7
6,3,0.237,0.237,179.9835911,387.586,19.7,1019.2,55.5
6,3,0.237,0.237,179.9836747,387.5863,19.7,1019.2,55.5
6,3,0.237,0.237,179.9836634,387.5865,19.7,1019.2,55.5
6,3,0.237,0.237,179.9835848,387.5862,19.7,1019.2,55.5
6,3,0.237,0.237,179.9837032,387.5862,19.7,1019.2,55.5
6,2,0.237,0.237,179.9876466,489.5721,19.1,1019.2,55.6
6,2,0.237,0.237,179.9877219,489.572,19.1,1019.2,55.6
6,2,0.237,0.237,179.9877323,489.5722,19.1,1019.2,55.6
6,2,0.237,0.237,179.9879081,489.5724,19.1,1019.2,55.6
6,2,0.237,0.237,179.987583,489.572,19.1,1019.2,55.6
6,1,0.237,0.237,180.0008241,509.9726,19.9,1019.2,56.6
6,1,0.237,0.237,180.000921,509.9727,19.9,1019.2,56.6
6,1,0.237,0.237,180.0007788,509.9728,19.9,1019.2,56.6
6,1,0.237,0.237,180.0011528,509.9727,19.9,1019.2,56.6
